id,genre,track_name,artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,sqenergy
4lY95OMGb9WxP6IYut64ir,british,Shake It Out,Florence + The Machine,0.0104,0.527,277720,0.804,0.0,10,0.105,-4.168,1,0.0358,107.486,4,0.221,0.6464160000000001
0V1hBXTdYOWv3N2FVzG3OM,british,Don't Let Me Be Misunderstood,The Animals,0.146,0.546,145693,0.568,0.0,11,0.77,-9.604,0,0.0285,112.584,4,0.488,0.32262399999999997
1oDpnYvcjkgxNc9ytYmxQJ,british,This Charming Man - Single Version; 2008 Remaster,The Smiths,0.00658,0.592,163053,0.867,0.0,8,0.0818,-4.447,0,0.049,103.92,4,0.696,0.7516889999999999
5K16Je2j1RTFrh7VqjEPcl,british,House Of Fun,Madness,0.465,0.725,171707,0.934,0.00116,4,0.169,-4.684,0,0.0288,127.39,4,0.985,0.8723560000000001
2qeESyQyH7MRHCBotCQsNq,british,Hungry Like the Wolf,Duran Duran,0.0252,0.664,209547,0.888,0.0,7,0.216,-5.161,1,0.067,127.369,4,0.605,0.788544
56KqaFSGTb7ifpt16t5Y1N,british,Rock the Casbah - Remastered,The Clash,0.291,0.797,222427,0.872,0.0,9,0.284,-6.727,0,0.0575,129.885,4,0.866,0.760384
6lUY6MoqGgPnA27PHYxem5,british,Bulletproof,La Roux,0.000441,0.674,205733,0.882,6.47e-05,3,0.068,-2.771,0,0.0477,123.016,4,0.682,0.7779240000000001
65QVpgBIutEZlpDCi6AH2F,british,"C'mon, C'mon",One Direction,0.0123,0.64,164880,0.941,0.0,5,0.305,-4.008,0,0.0893,142.905,4,0.761,0.8854809999999999
6uCkvrBH53QrYOwynsrAbC,british,Baggy Trousers,Madness,0.121,0.632,168587,0.861,0.0,0,0.364,-5.126,0,0.0349,144.598,4,0.938,0.741321
2bZ7OXzULD6d6qr137kR83,british,Do Me a Favour,Arctic Monkeys,0.00013,0.469,209253,0.738,0.0577,11,0.078,-6.638,0,0.0619,180.15,4,0.624,0.544644
6HFbq7cewJ7rPiffV0ciil,british,A Sky Full of Stars,Coldplay,0.00617,0.545,267867,0.675,0.00197,6,0.209,-6.474,1,0.0279,124.97,4,0.162,0.45562500000000006
4qLsPEzrmhD2XaQ0GVZbYp,british,We Get On,Kate Nash,0.174,0.635,274387,0.821,4.28e-05,0,0.0909,-5.53,1,0.0349,123.994,4,0.708,0.6740409999999999
1A0j6qANKHgk7VZ6uvYO06,british,A World Without Love,Peter And Gordon,0.232,0.512,160880,0.658,0.0,1,0.108,-9.972,0,0.0607,129.861,4,0.752,0.432964
1DlCpos9Lj8pK6cYMRjipp,british,Dry Your Eyes,The Streets,0.53,0.66,269093,0.479,0.0,9,0.102,-7.364,1,0.247,80.027,4,0.471,0.22944099999999998
0LHzd11GIXVmND7TfQnGiy,british,Bennie And The Jets,Various Artists,0.301,0.657,323453,0.724,5.54e-06,0,0.658,-7.465,1,0.0648,131.914,4,0.755,0.524176
0NLMTwdtea5BvVdqx9CpSj,british,Just Say Yes,Snow Patrol,0.0203,0.537,284120,0.885,2.98e-05,9,0.0304,-5.519,1,0.0328,108.02,4,0.255,0.7832250000000001
2oiMNaVCul7qmMzpRStjCg,british,Land Of Confusion - Remastered 2007,Genesis,0.0173,0.619,286320,0.939,0.000355,1,0.327,-6.787,1,0.0397,115.164,4,0.677,0.8817209999999999
0uBWMWm5P6tuCiavbjPWS0,british,The Writer,Ellie Goulding,0.167,0.5,251040,0.66,0.0,9,0.116,-5.354,1,0.0307,104.924,3,0.254,0.43560000000000004
6LmKLNesVLGWAx3BfijdAy,british,Hand on Heart,Olly Murs,0.0121,0.616,196947,0.547,0.0,9,0.0896,-5.931,1,0.0255,88.917,4,0.556,0.29920900000000006
3clIHVzJ9J2rvvrFUKLICo,british,She Bangs the Drums - Remastered,The Stone Roses,0.00649,0.339,232333,0.976,0.00672,9,0.123,-4.782,1,0.0909,144.723,4,0.672,0.952576
0HipMrGEo3BLg5KhfLt9dD,british,Heart Vacancy,The Wanted,0.2,0.578,223120,0.667,0.0,1,0.103,-5.257,1,0.0328,84.029,4,0.275,0.44488900000000003
5eURoNeI5bjIVEdAQkXRQg,british,Piledriver Waltz,Arctic Monkeys,0.00724,0.443,203880,0.865,0.000116,4,0.468,-4.547,1,0.0391,110.008,4,0.474,0.748225
0xZuxFQjLWZnRMOFlFDsF5,british,Step On,Happy Mondays,2.26e-05,0.597,316746,0.91,0.341,7,0.0945,-7.66,1,0.0374,104.932,4,0.58,0.8281000000000001
7Dk4MB4fPQKHFT2SJcRLrD,british,Shout To The Top - Full Version,The Style Council,0.0522,0.705,257427,0.949,0.00158,7,0.0534,-6.059,1,0.0896,143.733,4,0.909,0.9006009999999999
7yD1uhq8xqCSdHLSkQ6sYL,british,Drumming Song,Florence + The Machine,0.00125,0.441,223333,0.821,0.00106,4,0.0949,-4.795,0,0.0456,200.006,4,0.467,0.6740409999999999
0VD69ricQ3Flm3apWr4FQS,british,Techno Fan,The Wombats,0.00131,0.511,239201,0.934,0.0,2,0.365,-5.504,1,0.139,141.95,4,0.541,0.8723560000000001
7iOA86nwA7RF3GwMa93H0v,british,Ghost Town (Re-Recorded),The Specials,0.00775,0.381,316040,0.818,0.00456,0,0.469,-5.089,1,0.0423,154.609,4,0.88,0.6691239999999999
2vzgwB4ycW8ZFIGVc3nAKT,british,Knock 'Em Out,Lily Allen,0.31,0.564,173640,0.665,0.0,8,0.127,-7.832,1,0.283,160.437,5,0.894,0.44222500000000003
7H2l6luhrT1wqZ521Sc5vm,british,Don't Stand So Close To Me,Sting,0.049,0.796,237262,0.531,0.0052,2,0.0412,-8.75,1,0.0548,140.369,4,0.591,0.281961
0AHpuVdVEbQu8bzGUieSKi,british,Can't Say No,Conor Maynard,0.245,0.817,194305,0.784,0.0,1,0.07,-3.96,1,0.11,93.997,4,0.551,0.6146560000000001
3aABdPd96JkyvI9ZmHPLIZ,british,See The World,The Kooks,0.000169,0.303,158347,0.962,6.71e-06,7,0.388,-4.021,1,0.166,160.53,4,0.703,0.9254439999999999
16yM7I2ZCPcpKdsnQ4mIQX,british,Halcyon,Ellie Goulding,0.728,0.566,204700,0.664,1.31e-06,8,0.189,-6.563,0,0.0668,119.967,4,0.348,0.44089600000000007
7zNrf9LvWXYxhdKkVUcjBc,british,Time Is On My Side,The Rolling Stones,0.268,0.299,179547,0.663,1.07e-05,5,0.119,-10.522,1,0.0503,198.081,3,0.54,0.43956900000000004
3WSyYBhLZRLbQo2tJgFvSR,british,Sleeping Satellite,Tasmin Archer,0.171,0.6,281853,0.824,0.000225,5,0.258,-9.864,0,0.027,96.075,4,0.749,0.6789759999999999
0OQjml88pWLQp020zD9VhI,british,The Bends,Radiohead,0.0117,0.288,246200,0.757,0.14,0,0.363,-8.065,1,0.0652,89.694,4,0.311,0.573049
0Qw7qGuXlVBZLcfoQ17yZn,british,Old Pine,Ben Howard,0.458,0.419,328507,0.358,0.0479,5,0.168,-10.749,1,0.033,128.764,4,0.226,0.128164
1UBilOBSTjHxFBpsHNfykQ,british,Changes - 1999 Remastered Version,David Bowie,0.357,0.537,214573,0.355,0.0,0,0.132,-11.241,1,0.0363,113.994,4,0.39,0.126025
3dgNLAGDpcsUXH5VrzmMmR,british,Always Be Together,Little Mix,0.000723,0.519,266600,0.77,0.0,1,0.16,-5.107,0,0.0348,99.961,4,0.512,0.5929
6FBpIPlWYCQyXiJsmIDTOV,british,Some Might Say,Oasis,0.0391,0.242,328533,0.954,0.107,0,0.13,-2.297,0,0.0835,110.057,4,0.164,0.9101159999999999
72a9JWKqJ8SGo0OdyCS12P,british,Personal Jesus,Depeche Mode,0.104,0.687,225040,0.852,0.00866,11,0.0596,-5.538,1,0.0351,129.981,4,0.766,0.725904
48t1ooCntbAzQW4HVGofkc,british,We've Gotta Get out of This Place,The Animals,0.586,0.588,192840,0.444,0.0,5,0.146,-9.781,1,0.0362,124.321,4,0.487,0.197136
4jOtC832PyIXlCVPRElfQu,british,Troublemaker (feat. Flo Rida),Olly Murs,0.015,0.762,185587,0.863,0.0,0,0.125,-3.689,0,0.0565,106.008,4,0.965,0.744769
0Z1jSa9OzaVXERNOpH3F9J,british,Lovers' Eyes,Mumford & Sons,0.0304,0.269,321227,0.332,1.15e-05,2,0.0879,-10.153,1,0.0331,75.717,4,0.274,0.11022400000000002
79z9QkhHePTFsSeVw9uyj0,british,Smile,Lily Allen,0.00143,0.632,196893,0.639,0.0,5,0.221,-5.938,1,0.0259,95.506,4,0.733,0.408321
4Pxiq7tRULJLlMAo8Vh356,british,The Bartender And The Thief,Stereophonics,0.0586,0.287,174293,0.969,0.0,0,0.398,-3.548,1,0.0639,161.831,4,0.34,0.9389609999999999
3jWg24dgB34rPV09ulLoIc,british,Suck It and See,Arctic Monkeys,0.00105,0.339,225987,0.932,0.114,4,0.255,-5.017,1,0.057,128.291,4,0.586,0.8686240000000001
4xiyq1iRdsxuU1BPUJ490Z,british,Close To Me,The Cure,0.0745,0.724,203267,0.523,0.703,11,0.0811,-11.139,1,0.116,185.075,4,0.965,0.273529
5PK1JCSdr34gWgzYHgt3Jq,british,Feeling Good,Muse,0.299,0.345,198800,0.418,1.75e-05,7,0.103,-7.787,0,0.0316,109.044,3,0.267,0.174724
6p4sru0M36Cs5BL4qoSPw6,british,Tender,Blur,0.469,0.587,461947,0.566,0.0,9,0.0644,-9.932,1,0.0276,76.055,4,0.528,0.3203559999999999
2ohy1uevBkPZc4ibN8wMHU,british,It Must Be Love,Madness,0.383,0.538,200120,0.521,6.77e-05,7,0.188,-7.332,1,0.0334,147.13,4,0.621,0.27144100000000004
3okPiJwW5nCLpug12sCL4p,british,All Day and All of the Night,The Kinks,0.247,0.563,142227,0.915,8.46e-05,7,0.0613,-5.062,1,0.08,136.345,4,0.71,0.8372250000000001
5gOd6zDC8vhlYjqbQdJVWP,british,Baker Street,Gerry Rafferty,0.0929,0.497,365627,0.349,0.028,7,0.259,-14.0,1,0.0297,113.762,4,0.421,0.12180099999999998
1JlSSoGv2cQgrkp7qyYfT5,british,Have I the Right,The Honeycombs,0.024,0.368,178040,0.891,0.000611,1,0.194,-8.067,0,0.26,142.216,4,0.527,0.7938810000000001
0c4IEciLCDdXEhhKxj4ThA,british,Madness,Muse,0.127,0.502,281040,0.417,0.00419,10,0.106,-7.665,1,0.0718,180.301,4,0.218,0.173889
3GfOAdcoc3X5GPiiXmpBjK,british,Song 2,Blur,0.00188,0.658,121880,0.709,0.00447,8,0.0657,-6.736,1,0.0904,129.701,4,0.855,0.5026809999999999
3B7udSGy2PfgoCniMSb523,british,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Howard Shore,0.559,0.581,300840,0.0549,0.0,10,0.0718,-20.514,0,0.0397,152.037,4,0.234,0.0030140099999999997
07ABETRdek3ACMpRPvQuaT,british,Always on My Mind,Pet Shop Boys,0.0116,0.533,234907,0.783,0.0565,7,0.186,-10.61,1,0.0366,124.874,4,0.726,0.613089
5jzma6gCzYtKB1DbEwFZKH,british,London Calling - Remastered,The Clash,0.123,0.651,200480,0.801,0.0,0,0.0825,-7.34,1,0.0514,133.769,4,0.776,0.6416010000000001
6WF4hzdGXvXd1joERSXJjm,british,Hurts Like Heaven,Coldplay,0.01,0.418,242253,0.773,0.00418,10,0.269,-6.187,1,0.0305,89.961,4,0.273,0.597529
0KNVDEeZWXZPIYKqJeRRpX,british,If You Wanna,The Vaccines,3.03e-05,0.352,174013,0.866,2.92e-05,2,0.295,-3.274,1,0.0392,165.209,4,0.544,0.749956
3thXOneBb3F2YE0ajPjs0k,british,Friend of Mine,Lily Allen,0.0862,0.737,237533,0.613,0.0544,10,0.288,-6.809,0,0.097,164.034,4,0.653,0.37576899999999996
1oPg2EYKf2hbS7aDyE8j3S,british,The Riverboat Song,Ocean Colour Scene,0.00942,0.478,298640,0.862,1.28e-05,11,0.0756,-5.513,0,0.0269,106.295,3,0.608,0.7430439999999999
0gQpRWjX9WX8t2KeRfYVR1,british,"William, It Was Really Nothing - 2008 Remaster",The Smiths,0.0382,0.525,131960,0.943,0.000945,2,0.371,-4.876,1,0.0425,130.678,4,0.513,0.889249
31DVVa40JpTudyGDNC1ROW,british,Everything in Its Right Place,Radiohead,0.699,0.293,251427,0.462,0.0444,5,0.0954,-11.412,0,0.0453,124.004,5,0.0623,0.21344400000000002
3odPjdX1SjxxjIr0EZjEht,british,Sympathy For The Devil,The Rolling Stones,0.578,0.7,377573,0.675,0.0,9,0.0397,-10.956,1,0.241,115.925,4,0.608,0.45562500000000006
4z1O25cq9g2kuJemmUxc21,british,Small Bump,Ed Sheeran,0.689,0.81,259413,0.436,0.000151,10,0.11,-12.683,1,0.0717,119.973,4,0.446,0.190096
5xMAMaVbW3tkjXTmSUBPTd,british,Common People,Pulp,0.00735,0.311,349553,0.895,4.09e-05,0,0.0824,-4.854,1,0.0416,145.583,4,0.496,0.801025
4dVYM5ds4vC3HNzcBpExUD,british,Dreaming of You,The Coral,0.374,0.441,141000,0.684,0.000848,9,0.108,-7.495,0,0.031,199.001,4,0.971,0.46785600000000005
1UAXlOxY1NXiJpP2sEK102,british,Still The One,One Direction,0.013,0.616,182813,0.983,0.0,1,0.384,-2.287,0,0.0718,141.998,4,0.769,0.966289
